Campaign_Name,Date,Spend,Impressions,Website_Clicks
Control Campaign,2019-08-01,2280,82702.0,7016.0
Control Campaign,2019-08-02,1757,121040.0,8110.0
Control Campaign,2019-08-03,2343,131711.0,6508.0
Control Campaign,2019-08-04,1940,72878.0,3065.0
Control Campaign,2019-08-06,3083,109076.0,4028.0
Control Campaign,2019-08-07,2544,142123.0,2640.0
Control Campaign,2019-08-08,1900,90939.0,7260.0
Control Campaign,2019-08-09,2813,121332.0,6198.0
Control Campaign,2019-08-10,2149,117624.0,2277.0
Control Campaign,2019-08-11,2490,115247.0,8137.0
Control Campaign,2019-08-12,2319,116639.0,2993.0
Control Campaign,2019-08-13,2697,82847.0,6554.0
Control Campaign,2019-08-14,1875,145248.0,4521.0
Control Campaign,2019-08-15,2774,132845.0,4896.0
Control Campaign,2019-08-16,2024,71274.0,5224.0
Control Campaign,2019-08-17,2177,119612.0,6628.0
Control Campaign,2019-08-18,1876,108452.0,7253.0
Control Campaign,2019-08-19,2596,107890.0,3706.0
Control Campaign,2019-08-20,2675,113430.0,2578.0
Control Campaign,2019-08-21,1803,74654.0,5691.0
Control Campaign,2019-08-22,2939,105705.0,6843.0
Control Campaign,2019-08-23,2496,129880.0,4410.0
Control Campaign,2019-08-24,1892,72515.0,4085.0
Control Campaign,2019-08-25,1962,117006.0,4234.0
Control Campaign,2019-08-26,2233,124897.0,5435.0
Control Campaign,2019-08-27,2061,104678.0,4941.0
Control Campaign,2019-08-28,2421,141654.0,6287.0
Control Campaign,2019-08-29,2375,92029.0,8127.0
Control Campaign,2019-08-30,2324,111306.0,4658.0
Test Campaign,2019-08-01,3008,39550.0,3038.0
Test Campaign,2019-08-02,2542,100719.0,4657.0
Test Campaign,2019-08-03,2365,70263.0,7885.0
Test Campaign,2019-08-04,2710,78451.0,4216.0
Test Campaign,2019-08-06,2458,42684.0,7488.0
Test Campaign,2019-08-07,2838,53986.0,4221.0
Test Campaign,2019-08-08,2916,33669.0,7184.0
Test Campaign,2019-08-09,2652,45511.0,8259.0
Test Campaign,2019-08-10,2790,95054.0,8125.0
Test Campaign,2019-08-11,2420,83633.0,3750.0
Test Campaign,2019-08-12,2831,124591.0,8264.0
Test Campaign,2019-08-13,1972,65827.0,7568.0
Test Campaign,2019-08-14,2537,56304.0,3993.0
Test Campaign,2019-08-15,2516,94338.0,4993.0
Test Campaign,2019-08-16,3076,106584.0,6800.0
Test Campaign,2019-08-17,1968,95843.0,7910.0
Test Campaign,2019-08-18,1979,53632.0,6909.0
Test Campaign,2019-08-19,2626,22521.0,7617.0
Test Campaign,2019-08-20,2712,39470.0,6050.0
Test Campaign,2019-08-21,3112,133771.0,5471.0
Test Campaign,2019-08-22,2899,34752.0,4431.0
Test Campaign,2019-08-23,2407,60286.0,5077.0
Test Campaign,2019-08-24,2078,36650.0,7156.0
Test Campaign,2019-08-25,2928,120576.0,3596.0
Test Campaign,2019-08-26,2311,80841.0,3820.0
Test Campaign,2019-08-27,2915,111469.0,6435.0
Test Campaign,2019-08-28,2247,54627.0,8144.0
Test Campaign,2019-08-29,2805,67444.0,7651.0
Test Campaign,2019-08-30,1977,120203.0,4399.0
